source,target,weight
9,22,7.6724
9,166,7.5344
9,163,7.4456
9,658,7.4003
9,499,7.2694
9,82,7.2149
9,619,7.196
9,411,7.1853
9,172,7.171
9,31,7.0488
9,399,7.0234
9,441,6.8339
9,334,6.7571
9,229,6.75
9,384,6.7249
9,271,6.6803
9,381,6.603
9,348,6.5949
9,426,6.3811
9,263,6.3705
9,854,6.3058
225,1016,8.124
225,609,7.6029
225,411,6.3232
225,229,5.7006
225,303,5.5917
225,808,5.4312
225,630,5.1682
225,901,4.947
225,855,4.7546
225,230,4.311
225,755,4.2596
225,1343,4.1867
225,347,3.8568
225,441,3.6915
225,540,3.6674
225,773,3.6611
225,586,3.6278
225,399,3.6207
225,816,3.5828
225,854,3.5619
225,310,3.5201
225,373,3.4957
225,1209,3.4945
225,508,3.4673
225,1150,3.3851
225,1327,3.3797
225,836,3.2828
225,1059,3.2565
225,1363,3.2349
758,1114,3.0008
758,1049,2.8374
758,889,1.9615
758,1180,1.9543
758,856,1.8644
758,1072,1.8369
758,840,1.8204
386,543,18.4816
386,934,8.0362
386,624,7.1221
386,411,5.7738
386,476,5.6124
386,1178,5.5232
386,771,5.4133
386,498,5.2658
386,857,4.954
386,599,4.6731
386,1065,4.6449
386,864,4.3213
386,451,4.247
386,762,4.126
386,1158,4.072
386,619,4.0052
386,665,3.6865
386,596,3.6286
386,727,3.4348
386,774,3.2619
386,810,3.2124
1170,1223,2.6229
463,1256,8.8953
463,843,7.8002
463,971,7.4617
463,643,5.7963
463,642,5.5248
463,560,4.933
463,979,4.61
463,682,4.5397
463,524,4.4998
463,589,4.4886
463,651,4.4454
463,480,4.1358
463,588,4.1013
463,1347,4.0925
63,659,23.982
63,498,17.1127
63,918,11.8265
63,644,11.3048
63,458,11.1195
63,281,9.9708
63,151,8.7685
63,71,8.7445
63,207,8.7206
63,330,8.6957
63,608,7.7387
63,87,7.7369
63,397,7.655
63,347,7.4832
63,656,7.3929
63,543,7.3786
63,847,6.8569
63,1214,6.7808
63,672,6.5713
63,456,6.5253
63,99,6.4145
63,257,6.333
63,259,6.2867
63,86,6.2679
63,337,6.2189
63,1082,5.978
63,136,5.9452
63,223,5.9413
63,186,5.8629
63,363,5.7817
63,596,5.7755
63,193,5.6604
63,76,5.6491
63,547,5.2682
63,232,5.2354
63,360,5.1611
63,111,5.048
63,273,4.9444
63,382,4.8558
63,1199,4.773
358,931,6.2627
358,676,5.3771
358,368,5.2163
358,1341,4.7149
358,465,4.6394
358,773,4.4907
358,646,4.2494
358,845,4.0957
358,379,4.062
358,436,3.7645
358,384,3.5378
358,1007,3.3929
358,515,3.3661
358,624,3.2678
358,599,3.2187
358,456,3.1774
358,400,3.1209
358,510,3.037
358,880,2.9433
429,482,10.0245
429,511,7.1361
429,596,5.2023
429,573,4.9829
429,809,4.2422
429,437,4.2383
429,579,4.0418
429,644,3.9104
429,617,3.2456
429,636,3.2431
179,207,12.1912
179,1241,11.2576
179,824,10.7158
179,543,8.8308
179,526,8.2742
179,220,7.953
179,386,7.8625
179,1249,7.817
179,532,7.7575
179,181,7.4024
179,498,6.874
179,189,6.2226
179,367,6.1443
179,880,6.1346
179,467,5.7548
179,445,5.5928
179,934,5.4866
179,1178,5.1406
179,397,5.1315
179,581,4.9113
179,565,4.8316
179,366,4.7724
179,683,4.7596
179,492,4.74
179,187,4.6393
179,474,4.4878
179,528,4.3645
179,1089,4.3374
179,626,4.3201
179,838,4.1709
179,495,4.0464
179,1060,4.0055
179,654,3.9136
179,890,3.7686
179,762,3.7581
179,917,3.6865
934,965,3.9513
934,1158,2.4673
720,1251,5.7689
720,847,5.4937
720,901,4.8347
720,1107,4.3987
720,1012,4.3283
720,1158,3.8342
720,762,3.7627
720,1327,3.5414
720,836,3.3804
720,1033,2.896
720,809,2.8565
720,979,2.8201
720,1209,2.7486
542,800,6.0456
542,812,4.7136
542,591,4.7091
542,671,4.0482
542,572,3.675
542,634,3.5113
542,661,3.3671
542,1218,3.2163
542,649,3.0429
542,1089,2.6157
542,639,2.5879
542,1205,2.5072
542,579,2.4451
542,732,2.4422
542,553,2.3182
542,809,2.2575
142,343,12.6665
142,228,11.6395
142,673,9.8902
142,524,9.8823
142,590,8.3643
142,634,7.9445
142,1292,7.7988
142,309,7.384
142,198,7.3403
142,200,6.9021
142,600,6.8647
142,1114,6.6136
142,427,5.8318
142,671,5.7353
142,352,5.2857
142,166,5.0006
142,556,4.7671
142,531,4.7613
